+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
| 283  |                                 NCGC00169179-04                                 | SARS-CoV2 3CL Protease |      2.19     |
| 284  |                                 NCGC00346723-07                                 | SARS-CoV2 3CL Protease |      2.19     |
| 285  |                                 NCGC00386662-01                                 | SARS-CoV2 3CL Protease |      2.20     |
| 286  |                                 NCGC00480876-01                                 | SARS-CoV2 3CL Protease |      2.21     |
| 287  |                                 NCGC00263617-13                                 | SARS-CoV2 3CL Protease |      2.22     |
| 288  |                                 NCGC00386341-01                                 | SARS-CoV2 3CL Protease |      2.22     |
| 289  |                                 NCGC00507865-01                                 | SARS-CoV2 3CL Protease |      2.22     |
| 290  |                                 NCGC00510518-01                                 | SARS-CoV2 3CL Protease |      2.24     |
| 291  |                                 NCGC00385528-01                                 | SARS-CoV2 3CL Protease |      2.24     |
| 292  |                                 NCGC00168838-03                                 | SARS-CoV2 3CL Protease |      2.24     |
| 293  |                                 NCGC00016004-04                                 | SARS-CoV2 3CL Protease |      2.25     |
| 294  |                         NCGC00015443-17&NCGC00015443-22                         | SARS-CoV2 3CL Protease |      2.25     |
| 295  |                                 NCGC00402295-03                                 | SARS-CoV2 3CL Protease |      2.26     |
| 296  |                                 NCGC00384925-01                                 | SARS-CoV2 3CL Protease |      2.26     |
| 297  |                                 NCGC00370901-01                                 | SARS-CoV2 3CL Protease |      2.27     |
| 298  |                         NCGC00261751-01&NCGC00386720-01                         | SARS-CoV2 3CL Protease |      2.27     |
